"Date","Tair_mean (c)","Tair_min (c)","Tair_max (c)","Dew_tmean (c)","Dew_tmin (c)","Dew_tmax (c)","Dry_bulb_t (c)","Rainfall (mm)","Patm (mB)","Rh_mean (porc)","Rh_max (porc)","Rh_min (porc)","Ws_10 (m s-1)","Ws_2 (m s-1)","Ws_gust (m s-1)","Wd (degrees)","Sr (Mj m-2 day-1)","DOY","Ra (Mj m-2 day-1)","Station_code","Station","UF","Longitude (degrees)","Latitude (degrees)","Altitude (m)","eto"
2001-01-01,20.6791666666667,18.5,24.6,18.7125,17.2,20.3,20.6666666666667,55,885.404166666667,89.3333333333333,97,69,1.75,1.30852629600059,7.4,302.708333333333,14.95,1,41.1225798795242,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.13494609127604
2001-01-02,20.7020833333333,18.6,24.7,18.2979166666667,17.2,19.6,20.6958333333333,3.2,885.966666666667,86.625,97,67,2.325,1.73847065040078,9,286.125,15.764,2,41.1191134926072,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.34142371456499
2001-01-17,21.9104166666667,18.1,27.4,15.0458333333333,12.1,18.1,21.8375,0,888.120833333333,66.5416666666667,83,41,3.49166666666667,2.61082151440118,8.4,95.4166666666667,18.551,17,40.9686938527489,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.95910293141391
2001-01-25,21.2270833333333,18.1,27.1,17.8083333333333,15.8,19.4,21.2375,0.8,887.533333333333,81.8333333333333,95,54,1.50833333333333,1.12782504560051,8.8,196.416666666667,18.786,25,40.7922050179654,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.9607647426918
2001-01-26,23.06875,18,28.1,16.6791666666667,14.4,19.1,23.075,2.6,887.275,68.7916666666667,96,44,2.16666666666667,1.62008017600073,7.6,84.3333333333333,24.384,26,40.7642567376563,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.16066300964541
2001-01-28,23.7854166666667,18.1,29.3,15.00625,11.8,18.7,23.8375,0,886.183333333333,60.125,85,37,1.97916666666667,1.47988093000067,7.7,131.291666666667,24.436,28,40.7040470405087,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.38445753326194
2001-01-29,23.11875,17.7,29.4,16.48125,12.5,18.6,23.1583333333333,5,885.379166666667,68.9583333333333,95,35,1.80416666666667,1.34902830040061,9.8,179.166666666667,23.326,29,40.6717147809706,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.10914181542353
2001-01-30,22.6979166666667,16.8,28.8,16.0208333333333,12.5,18.4,22.8333333333333,4.8,884.4375,67.3333333333333,94,38,2.19166666666667,1.63877340880074,8.9,109.708333333333,24.217,30,40.637850594869,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.27331450513984
2001-01-31,23.0916666666667,19.1,29.7,17.1083333333333,14.4,19,23.0291666666667,0,884.958333333333,70.7083333333333,90,42,2.15416666666667,1.61073355960073,9.8,181.666666666667,25.291,31,40.6024195333137,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.5117388298551
2001-02-01,21.8833333333333,18.1,29,17.4083333333333,15.3,18.8,21.8541666666667,15,884.495833333333,77.5,96,44,2.15833333333333,1.61384909840073,12.6,254.458333333333,23.219,32,40.5653869673365,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.03832853984101
2001-02-02,21.775,18,28.1,17.3208333333333,14.9,19,21.8,3,884.633333333333,77.0833333333333,96,45,1.7125,1.28048644680058,10.7,250.25,19.603,33,40.5267186611087,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.30343580835244
2001-02-03,24.3291666666667,19.5,30.6,15.5708333333333,8.4,19.7,24.4083333333333,0,884.841666666667,61.375,86,27,2.19166666666667,1.63877340880074,8.4,159.166666666667,27.979,34,40.4863808452925,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,6.23793948805225
2001-02-04,24.8895833333333,17.9,30.5,13.0916666666667,5.6,18.5,24.9708333333333,0,886.179166666667,52.9166666666667,93,23,2.375,1.7758571160008,9,140.208333333333,30.257,35,40.444340290405,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,6.57950016393443
2001-02-05,24.2708333333333,18.9,30.2,13.4833333333333,7.8,17.5,24.2041666666667,0,886.266666666667,52.1666666666667,77,32,1.97916666666667,1.47988093000067,11.2,266.5,22.758,36,40.400564380069,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.35730860676971
2001-02-06,24.3458333333333,18,30.9,16.5041666666667,11,18.9,24.4083333333333,0,886.016666666667,64.5833333333333,92,32,1.65833333333333,1.23998444240056,6.7,205.125,26.629,37,40.3550211840272,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.6845156628706
2001-02-07,23.3541666666667,18,31,16.3645833333333,13.3,18.8,23.3416666666667,3.6,885.845833333333,67.125,92,37,2.6,1.94409621120088,8.8,171,25.381,38,40.3076795307917,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.8616511018764
2001-02-09,22.04375,18.2,28.6,17.3270833333333,14.5,19.2,22.1041666666667,0.2,885.075,76.1666666666667,97,42,1.82916666666667,1.36772153320062,10.2,201.208333333333,21.788,40,40.2074803929696,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.71303349180086
