"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A001","BRASILIA","DF",-15.7893,-47.9258,1160.96,"2000-05-07","2022-12-31"
"A042","BRAZLANDIA","DF",-15.5997,-48.1311,1143,"2017-07-19","2022-12-31"
"A045","AGUAS EMENDADAS","DF",-15.5965,-47.6258,1030.36,"2008-10-03","2022-12-31"
"A046","GAMA (PONTE ALTA)","DF",-15.9353,-48.1375,990,"2014-10-01","2022-12-31"
"A047","PARANOA (COOPA-DF)","DF",-16.0122,-47.5574,1043,"2017-02-07","2022-12-31"
"A002","GOIANIA","GO",-16.6428,-49.2202,727.3,"2001-05-29","2022-12-31"
"A003","MORRINHOS","GO",-17.7451,-49.1017,751.09,"2001-05-25","2022-12-31"
"A005","PORANGATU","GO",-13.3094,-49.1175,365,"2018-09-13","2022-12-31"
"A011","SAO SIMAO","GO",-18.9691,-50.6334,492.45,"2006-07-15","2022-12-31"
"A012","LUZIANIA","GO",-16.2606,-47.9669,1000.82,"2006-10-21","2022-12-31"
"A013","ARAGARCAS","GO",-15.9028,-52.2453,327.35,"2007-07-13","2022-12-31"
"A014","GOIAS","GO",-15.9397,-50.1414,512.86,"2007-07-18","2022-12-31"
"A015","ITAPACI","GO",-14.9797,-49.54,551.16,"2007-02-03","2022-12-31"
"A016","JATAI","GO",-17.9236,-51.7175,670.08,"2007-05-23","2022-12-31"
"A017","POSSE","GO",-14.0892,-46.3665,830,"2007-04-18","2022-12-31"
"A022","GOIANESIA","GO",-15.2203,-48.99,667.01,"2007-06-02","2022-12-31"
"A023","CAIAPONIA","GO",-16.9669,-51.8176,740.1,"2007-05-21","2022-12-31"
"A024","ALTO PARAISO DE GOIAS","GO",-14.1331,-47.5233,1264.7,"2007-06-04","2022-12-31"
"A025","RIO VERDE","GO",-17.7853,-50.965,780.11,"2007-05-17","2022-12-31"
"A026","MINEIROS","GO",-17.4547,-52.6011,862,"2007-11-24","2022-12-31"
"A027","PARAUNA","GO",-16.9625,-50.4256,678.74,"2008-03-29","2022-12-31"
"A028","IPORA","GO",-16.4231,-51.1489,610.41,"2013-06-24","2022-12-31"
"A029","EDEIA","GO",-17.3369,-49.9147,608,"2017-08-26","2022-12-31"
"A031","SAO MIGUEL DO ARAGUAIA","GO",-12.8206,-50.3358,210,"2017-06-29","2022-12-31"
"A032","MONTE ALEGRE DE GOIAS","GO",-13.2536,-46.8903,552,"2007-06-07","2022-12-31"
"A033","PIRES DO RIO","GO",-17.3042,-48.2842,757.27,"2007-10-12","2022-12-31"
"A034","CATALAO","GO",-18.1548,-47.9276,900.72,"2008-01-31","2022-12-31"
"A035","ITUMBIARA","GO",-18.4098,-49.1921,491.17,"2007-11-01","2022-12-31"
"A036","CRISTALINA","GO",-16.785,-47.6131,1211.08,"2007-12-14","2022-12-31"
